,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
80,80.97,172.78,72.79,93.53,61.45,42.72,209.53,315.2,309.47,143.83,225.59,124.42,48.78,80.94,347.74,44.14,49.09,47.24,294.38,356.74
81,77.38,170.23,71.71,100.44,59.11,43.37,201.91,305.16,305.52,142.02,222.95,120.65,47.0,79.19,345.09,43.19,48.7,45.97,280.66,351.14
82,77.17,174.38,74.3,100.21,60.08,52.0,204.19,305.23,302.0,142.51,224.84,123.4,48.02,79.46,358.0,42.66,48.51,46.53,288.16,358.0
83,79.71,180.12,72.35,102.48,61.78,59.14,209.83,311.6,304.9,143.22,227.15,126.47,49.45,81.51,369.01,44.28,48.76,47.62,299.23,366.74
84,80.36,179.9,72.41,101.99,62.69,48.98,210.11,317.38,308.95,144.3,226.15,132.44,49.84,81.79,369.67,44.59,49.73,48.45,306.32,365.55
85,81.3,183.63,73.81,102.51,63.56,49.93,210.85,319.69,310.61,144.33,216.05,132.52,49.32,82.77,366.95,44.6,50.03,48.69,309.55,367.46
86,80.01,183.89,73.96,103.96,62.9,49.87,212.33,315.23,313.63,145.37,216.88,128.7,49.73,85.44,366.77,44.74,49.4,47.97,304.97,366.09
87,80.39,188.7,75.43,106.7,65.74,51.42,213.06,314.2,313.79,145.66,221.81,129.65,52.26,84.53,371.07,44.66,49.91,48.87,309.68,370.0
88,79.9,184.44,75.44,107.54,66.97,51.63,207.19,320.16,310.68,146.08,231.94,130.7,53.8,94.49,373.69,44.79,49.78,49.13,316.01,369.28
89,81.8,184.71,75.91,108.0,68.14,51.15,210.76,324.7,315.12,146.08,231.45,132.42,53.89,95.67,380.01,46.02,49.58,49.93,317.44,374.29
90,81.22,183.71,75.73,107.49,67.69,53.6,213.14,323.97,318.2,146.47,229.33,132.81,54.53,95.14,381.4,46.07,49.33,47.32,317.25,374.84
91,81.24,185.35,76.04,106.74,72.45,53.34,214.18,317.77,318.31,146.99,227.42,132.21,55.31,96.48,380.4,46.09,47.85,46.97,316.3,379.67
92,79.75,187.23,75.98,107.78,74.14,57.23,217.8,310.75,322.05,145.6,228.96,131.24,56.89,99.88,387.78,46.15,49.11,46.59,309.18,378.85
93,80.91,187.28,76.33,108.51,78.68,61.16,217.49,315.69,323.02,145.53,227.0,133.13,58.9,100.49,386.19,45.97,49.31,46.29,317.39,383.28
94,80.08,184.42,75.91,107.66,77.18,59.96,214.58,309.24,324.08,145.16,223.04,131.47,57.27,99.5,386.0,46.02,48.94,46.85,313.47,378.96
95,78.26,178.59,74.26,104.8,73.52,60.07,210.18,304.5,321.95,145.85,223.48,128.52,53.28,98.57,380.07,45.82,50.17,46.3,306.0,372.95
96,74.55,170.89,71.08,100.46,68.32,55.59,200.72,291.6,313.62,142.64,221.69,121.44,49.12,96.37,368.7,44.6,47.59,44.0,290.4,357.41
97,72.02,168.07,69.42,98.64,65.51,53.33,196.77,282.68,304.87,141.1,222.96,118.38,47.57,94.58,360.09,43.17,47.08,42.74,284.59,347.8
